epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8095,1.68449,2.91599,1.22693,0.01396,0.40157,0.16242,0.09589,1.31418,3.39846,1.08782,0.000410539,0.000410539,0.000410539
2,21.5647,1.35487,1.65429,1.065,0.69263,0.44416,0.47887,0.29263,1.25611,1.46298,1.07376,0.000819017,0.000819017,0.000819017
3,31.2802,1.30886,1.4262,1.05538,0.51186,0.49109,0.53876,0.30915,1.391,1.61548,1.14829,0.00121924,0.00121924,0.00121924
4,40.6846,1.27457,1.3005,1.04707,0.54085,0.61867,0.60615,0.3859,1.24154,1.66028,1.09534,0.00121287,0.00121287,0.00121287
5,50.1975,1.24361,1.17902,1.03425,0.65608,0.67579,0.66505,0.41963,1.24735,1.05544,1.08552,0.0012005,0.0012005,0.0012005
6,59.8297,1.2502,1.1247,1.03766,0.63336,0.62011,0.64362,0.38479,1.26309,1.2029,1.10124,0.00118812,0.00118812,0.00118812
7,69.4109,1.22229,1.09402,1.01363,0.67914,0.61434,0.68765,0.43697,1.20439,1.04831,1.06055,0.00117575,0.00117575,0.00117575
8,78.9507,1.19205,1.0127,1.01177,0.68005,0.66155,0.69048,0.44491,1.19992,0.93116,1.05964,0.00116337,0.00116337,0.00116337
9,88.5582,1.19666,0.98918,1.01411,0.70367,0.60509,0.67436,0.4325,1.19188,1.07059,1.06332,0.001151,0.001151,0.001151
10,98.4191,1.17852,0.97612,1.01336,0.67536,0.69223,0.70055,0.45813,1.19317,1.00012,1.06412,0.00113863,0.00113863,0.00113863
11,108.476,1.18327,0.98205,1.01169,0.68905,0.64687,0.71848,0.46982,1.20684,0.90616,1.06219,0.00112625,0.00112625,0.00112625
12,118.343,1.16406,0.93433,1.0031,0.75656,0.63651,0.71896,0.46124,1.20344,1.13324,1.0547,0.00111388,0.00111388,0.00111388
13,128.168,1.16822,0.92506,1.00538,0.61032,0.77729,0.69837,0.45479,1.21571,0.9561,1.0651,0.0011015,0.0011015,0.0011015
14,138.429,1.15527,0.89704,0.99489,0.65468,0.65135,0.70452,0.44118,1.24042,0.94325,1.08213,0.00108913,0.00108913,0.00108913
15,148.77,1.15069,0.87348,0.99576,0.67118,0.71198,0.71681,0.46625,1.22262,0.87553,1.07561,0.00107675,0.00107675,0.00107675
16,158.958,1.14857,0.8639,0.9924,0.6698,0.70579,0.71343,0.46939,1.18281,0.93894,1.05844,0.00106437,0.00106437,0.00106437
17,169.211,1.12941,0.84304,0.98646,0.67257,0.75589,0.73927,0.48184,1.17912,0.83909,1.05281,0.001052,0.001052,0.001052
18,179.446,1.12693,0.83299,0.98906,0.6742,0.70602,0.73299,0.48963,1.19194,0.96371,1.06744,0.00103962,0.00103962,0.00103962
19,189.366,1.12631,0.83469,0.98457,0.75254,0.70173,0.73662,0.47999,1.18417,0.90049,1.05805,0.00102725,0.00102725,0.00102725
20,199.402,1.11337,0.80673,0.98312,0.71962,0.73266,0.76402,0.50233,1.16401,0.82077,1.04665,0.00101488,0.00101488,0.00101488
21,209.374,1.12371,0.8146,0.98245,0.72461,0.71946,0.74168,0.45977,1.21244,0.82161,1.06497,0.0010025,0.0010025,0.0010025
22,219.433,1.12746,0.8086,0.9822,0.67834,0.7106,0.72395,0.48174,1.17864,0.84631,1.05708,0.000990125,0.000990125,0.000990125
