epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.067,1.67882,3.70457,0.00548,0.84151,0.42529,0.53557,0.28915,1.59393,1.44015,0.00779,0.000412177,0.000412177,0.000412177
2,172.511,1.59869,1.82061,0.00522,0.79732,0.48216,0.53855,0.30787,1.46934,1.21492,0.00717,0.000821589,0.000821589,0.000821589
3,232.51,1.60789,1.6219,0.00517,0.58175,0.51498,0.55322,0.32109,1.44054,1.77519,0.00711,0.00122552,0.00122552,0.00122552
4,292.27,1.57714,1.52753,0.00509,0.55173,0.63773,0.61441,0.34733,1.42252,1.32322,0.00721,0.00122525,0.00122525,0.00122525
5,352.556,1.54758,1.48512,0.00507,0.59965,0.56983,0.602,0.35985,1.4523,1.34299,0.00749,0.001217,0.001217,0.001217
6,412.697,1.54451,1.39053,0.00509,0.66522,0.6213,0.6423,0.36945,1.49704,1.1844,0.00766,0.00120875,0.00120875,0.00120875
7,472.108,1.49806,1.30289,0.00494,0.6201,0.68996,0.67967,0.40891,1.35972,1.14304,0.00678,0.0012005,0.0012005,0.0012005
8,531.505,1.47827,1.23478,0.00474,0.66114,0.58711,0.63639,0.39106,1.30632,1.15427,0.00653,0.00119225,0.00119225,0.00119225
9,590.828,1.43662,1.17073,0.0046,0.65588,0.70183,0.7087,0.44638,1.28046,1.01834,0.00652,0.001184,0.001184,0.001184
10,650.303,1.4601,1.15517,0.00454,0.69342,0.69588,0.72541,0.45796,1.26222,0.9656,0.00617,0.00117575,0.00117575,0.00117575
11,709.789,1.43301,1.12637,0.00463,0.66213,0.74631,0.73809,0.46461,1.33252,0.91974,0.00662,0.0011675,0.0011675,0.0011675
12,769.128,1.44967,1.14766,0.0047,0.75287,0.68195,0.75068,0.45953,1.33167,0.8822,0.00684,0.00115925,0.00115925,0.00115925
13,828.445,1.42391,1.13585,0.00444,0.68477,0.74793,0.74634,0.47753,1.27285,0.85879,0.00642,0.001151,0.001151,0.001151
14,887.91,1.39723,1.07251,0.00417,0.67269,0.7358,0.73393,0.46859,1.29273,0.85412,0.00667,0.00114275,0.00114275,0.00114275
15,947.132,1.4098,1.07315,0.00448,0.7779,0.61687,0.70882,0.4314,1.40087,1.05809,0.00772,0.0011345,0.0011345,0.0011345
16,1006.39,1.38928,1.03402,0.00443,0.73755,0.75127,0.79381,0.49069,1.32568,0.83032,0.00721,0.00112625,0.00112625,0.00112625
17,1067.89,1.39161,1.0388,0.00439,0.76665,0.68909,0.75844,0.48015,1.2407,0.83215,0.00607,0.001118,0.001118,0.001118
18,1127.28,1.37954,1.02755,0.00428,0.64746,0.74012,0.73128,0.45231,1.37915,0.89107,0.00747,0.00110975,0.00110975,0.00110975
19,1186.81,1.36156,1.0133,0.00418,0.71207,0.72933,0.74765,0.4597,1.34737,1.03095,0.00656,0.0011015,0.0011015,0.0011015
20,1246.39,1.36041,0.98317,0.00429,0.70797,0.71541,0.77207,0.48966,1.29528,1.07602,0.00667,0.00109325,0.00109325,0.00109325
21,1305.83,1.32643,0.96518,0.00415,0.74671,0.71979,0.76873,0.49151,1.26713,0.79484,0.00647,0.001085,0.001085,0.001085
22,1366,1.35788,0.98281,0.00444,0.7673,0.73451,0.79466,0.49908,1.26698,0.84527,0.00644,0.00107675,0.00107675,0.00107675
23,1426.22,1.33619,0.95407,0.00415,0.76411,0.78292,0.81281,0.48597,1.37419,0.85297,0.00726,0.0010685,0.0010685,0.0010685
24,1485.62,1.30016,0.9411,0.00397,0.74453,0.76824,0.79357,0.45822,1.40517,0.96687,0.00745,0.00106025,0.00106025,0.00106025
25,1545.05,1.32989,0.94733,0.00398,0.78704,0.70673,0.79302,0.50557,1.27449,0.84183,0.00648,0.001052,0.001052,0.001052
26,1605.34,1.27585,0.92436,0.00387,0.7101,0.74287,0.76584,0.49353,1.28549,0.94013,0.00651,0.00104375,0.00104375,0.00104375
27,1664.88,1.29326,0.89562,0.00395,0.79084,0.72869,0.79009,0.50155,1.27094,0.86076,0.00657,0.0010355,0.0010355,0.0010355
28,1724.26,1.2977,0.92136,0.00391,0.7361,0.75882,0.79987,0.52613,1.23339,0.88907,0.00632,0.00102725,0.00102725,0.00102725
29,1783.74,1.28955,0.91036,0.00405,0.81729,0.73818,0.78815,0.49248,1.34681,0.84144,0.00698,0.001019,0.001019,0.001019
30,1842.89,1.28758,0.91738,0.00396,0.77014,0.70065,0.76181,0.49498,1.21797,0.87588,0.00602,0.00101075,0.00101075,0.00101075
31,1902.21,1.27229,0.87176,0.00395,0.77406,0.76974,0.79938,0.52384,1.23693,0.78371,0.00641,0.0010025,0.0010025,0.0010025
32,1961.38,1.26826,0.86151,0.00385,0.83856,0.69301,0.80344,0.53027,1.22982,0.76685,0.00627,0.00099425,0.00099425,0.00099425
33,2020.8,1.26497,0.86018,0.00394,0.76744,0.74847,0.80056,0.53037,1.19901,0.78716,0.00594,0.000986,0.000986,0.000986
34,2080.24,1.23757,0.84186,0.00382,0.78519,0.74181,0.7886,0.52392,1.20595,0.8079,0.00598,0.00097775,0.00097775,0.00097775
35,2139.46,1.24453,0.82823,0.00371,0.75055,0.7766,0.81563,0.53074,1.21942,0.86037,0.00605,0.0009695,0.0009695,0.0009695
36,2198.8,1.23698,0.83884,0.00378,0.75433,0.7884,0.82347,0.5431,1.20591,0.76407,0.00599,0.00096125,0.00096125,0.00096125
37,2258.04,1.22982,0.82443,0.00375,0.74536,0.7275,0.76926,0.51093,1.22471,0.82804,0.00617,0.000953,0.000953,0.000953
38,2317.2,1.22341,0.83311,0.00369,0.81943,0.70569,0.8052,0.53161,1.23715,0.77211,0.00626,0.00094475,0.00094475,0.00094475
39,2376.22,1.21933,0.79952,0.00378,0.75187,0.69963,0.77659,0.47494,1.36918,0.88159,0.00693,0.0009365,0.0009365,0.0009365
